epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.607,0.89228,2.70336,0.17437,0.8195,0.95011,0.86352,0.87764,0.94234,0.75424,0.81986,0.81892,0.85171,0.51763,0.75707,1.87424,0.0324,0.74568,0.88627,0.000665333,0.000665333,0.000665333
2,319.487,0.89533,2.57485,0.09746,0.7796,0.94846,0.88311,0.8664,0.94347,0.77433,0.82923,0.80821,0.83949,0.5095,0.69716,1.83539,0.01442,0.66334,0.88678,0.00124409,0.00124409,0.00124409
3,478.615,0.86949,2.50254,0.08178,0.73728,0.94129,0.8804,0.87809,0.94667,0.78335,0.8383,0.83131,0.86929,0.53589,0.68111,1.7672,0.01673,0.64747,0.88692,0.00173484,0.00173484,0.00173484
4,637.782,0.84567,2.39246,0.07519,0.70799,0.93265,0.86381,0.89303,0.94556,0.77426,0.82097,0.83752,0.8572,0.53016,0.69844,1.78009,0.00686,0.66001,0.88696,0.001604,0.001604,0.001604
5,796.909,0.81424,2.2849,0.07253,0.68588,0.92359,0.88408,0.89546,0.95445,0.7923,0.85497,0.83533,0.87543,0.57735,0.66924,1.72212,0.00844,0.61776,0.87496,0.001472,0.001472,0.001472
6,957.426,0.78725,2.01332,0.02477,0.65679,0.91097,0.88236,0.85366,0.93895,0.76239,0.83118,0.79397,0.84641,0.53227,0.72473,1.79346,0.00808,0.82797,0.89248,0.00134,0.00134,0.00134
7,1116.24,0.74426,1.94168,0.02473,0.6225,0.8969,0.88024,0.86685,0.94498,0.7907,0.85687,0.80256,0.87361,0.58103,0.67166,1.67938,0.00707,0.73243,0.8718,0.001208,0.001208,0.001208
8,1274.98,0.73239,1.84228,0.02472,0.60969,0.89386,0.89686,0.88797,0.95778,0.8078,0.85759,0.84247,0.8879,0.61398,0.66955,1.60207,0.00556,0.57002,0.87801,0.001076,0.001076,0.001076
9,1433.63,0.70895,1.74489,0.02287,0.57927,0.88522,0.88908,0.88664,0.95601,0.80441,0.85365,0.83581,0.8759,0.60944,0.66504,1.56643,0.00511,0.57535,0.87751,0.000944,0.000944,0.000944
10,1592.38,0.69362,1.67203,0.02388,0.56721,0.88269,0.89637,0.90013,0.96052,0.81808,0.86947,0.85065,0.89379,0.6415,0.63756,1.4846,0.00387,0.53914,0.86863,0.000812,0.000812,0.000812
11,1751.61,0.66696,1.58642,0.01889,0.54461,0.87121,0.90341,0.89069,0.96106,0.82388,0.86736,0.85515,0.90143,0.6481,0.63263,1.43949,0.00363,0.53079,0.86444,0.00068,0.00068,0.00068
12,1909.76,0.64107,1.5004,0.02043,0.52848,0.8667,0.91009,0.88934,0.96171,0.83647,0.87762,0.84845,0.91142,0.6766,0.59423,1.38728,0.00339,0.55829,0.85969,0.000548,0.000548,0.000548
13,2068.01,0.6241,1.45779,0.01908,0.50149,0.86244,0.92708,0.86865,0.95949,0.83448,0.89972,0.843,0.92073,0.67637,0.58776,1.34732,0.00305,0.55742,0.8539,0.000416,0.000416,0.000416
14,2227.15,0.60259,1.36146,0.01819,0.48999,0.85685,0.89662,0.8817,0.95737,0.8371,0.87895,0.84121,0.91522,0.68421,0.58301,1.29761,0.00327,0.65218,0.85521,0.000284,0.000284,0.000284
15,2387.53,0.58453,1.28545,0.01988,0.47,0.851,0.90763,0.88848,0.9638,0.8513,0.8904,0.8479,0.92251,0.70363,0.55771,1.24768,0.00268,0.56186,0.84847,0.000152,0.000152,0.000152
