epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,358.347,0.90585,3.44985,0.24235,0.84897,1.05694,0.81667,0.7697,0.87899,0.66177,0.65794,0.61313,0.59998,0.24518,0.76131,3.12975,0.06034,1.14259,0.9232,0.000666049,0.000666049,0.000666049
2,724.012,1.00522,3.90888,0.18284,0.92423,1.10973,0.83902,0.81605,0.89832,0.67319,0.72345,0.67369,0.64821,0.26293,0.77563,2.94407,0.07042,0.94135,0.9402,0.00127994,0.00127994,0.00127994
3,1252.94,0.99586,3.86316,0.17113,0.91342,1.10393,0.84205,0.80988,0.90317,0.68514,0.73839,0.65769,0.68045,0.31408,0.77679,3.00922,0.04395,0.8274,0.93571,0.00184103,0.00184103,0.00184103
4,1624.65,0.96412,3.75558,0.16229,0.86707,1.09393,0.83225,0.8256,0.90315,0.7085,0.79597,0.71136,0.75304,0.39289,0.72261,2.69761,0.04661,0.9344,0.90831,0.0017624,0.0017624,0.0017624
5,1992.25,0.91326,3.54361,0.15427,0.81738,1.06768,0.88269,0.8331,0.92568,0.73313,0.81757,0.73802,0.77674,0.40536,0.6968,2.47393,0.03477,0.69731,0.90311,0.0016832,0.0016832,0.0016832
6,2364.6,0.90549,3.43327,0.14878,0.80036,1.06226,0.86583,0.84728,0.92612,0.73627,0.80834,0.74175,0.7801,0.40617,0.67442,2.40713,0.02726,0.70778,0.88627,0.001604,0.001604,0.001604
7,2736.65,0.87509,3.32026,0.14825,0.77597,1.05074,0.88608,0.84201,0.93063,0.75362,0.81882,0.75432,0.78998,0.41843,0.64378,2.38761,0.02793,0.7202,0.87153,0.0015248,0.0015248,0.0015248
8,3083.02,0.8415,3.17792,0.13938,0.73729,1.03457,0.89661,0.86834,0.9417,0.77317,0.84407,0.77658,0.81978,0.45121,0.61474,2.21462,0.02542,0.63085,0.85637,0.0014456,0.0014456,0.0014456
9,3425.37,0.82561,3.11154,0.1365,0.71964,1.02563,0.8763,0.86813,0.9378,0.77252,0.81826,0.76971,0.8109,0.46099,0.61213,2.15289,0.02458,0.61183,0.85621,0.0013664,0.0013664,0.0013664
10,3767.07,0.80019,2.98802,0.13062,0.70275,1.01147,0.87057,0.86854,0.94196,0.78152,0.83272,0.77375,0.82306,0.49328,0.58245,2.03685,0.02354,0.59116,0.83812,0.0012872,0.0012872,0.0012872
11,4109.23,0.78976,2.95822,0.13287,0.69259,1.01152,0.89406,0.86996,0.94591,0.79226,0.85292,0.78712,0.83587,0.50325,0.57055,1.98397,0.03037,0.58025,0.8326,0.001208,0.001208,0.001208
12,4451.24,0.77398,2.88083,0.12915,0.67657,1.00326,0.89606,0.86613,0.94011,0.78734,0.85128,0.78104,0.82462,0.48588,0.57636,1.96112,0.02042,0.74147,0.83248,0.0011288,0.0011288,0.0011288
